DOID	Definition
DOID_0060691	platelet-type bleeding disorder 16
DOID_0060227	Adams-Oliver syndrome
DOID_2211	factor XIII deficiency
DOID_2213	hemorrhagic disease
DOID_2212	coagulation protein disease
DOID_9765	emphysematous cholecystitis
DOID_2452	thrombophilia
DOID_2217	Bernard-Soulier syndrome
DOID_2216	factor V deficiency
DOID_2219	Glanzmann's thrombasthenia
DOID_10209	extrahepatic bile duct lipoma
DOID_0111146	acquired von Willebrand syndrome
DOID_907	liver fibroma
DOID_272	hepatic vascular disease
DOID_1884	viral hepatitis
DOID_0111155	autosomal recessive spinocerebellar ataxia 21
DOID_5082	liver cirrhosis
DOID_3571	liver cancer
DOID_0060643	primary sclerosing cholangitis
DOID_3756	protein C deficiency
